                       linear_algebra   physics   biology  cybersecurity  statistics  sociology  computer_networks   history project_management  chemistry  environmental_science communication_skills      arts
linear_algebra               1.000000 -0.033355 -0.018613       0.037280   -0.003485  -0.055085           0.076992 -0.069778          -0.004673  -0.302859              -0.042129            -0.100896 -0.166747
physics                     -0.033355  1.000000  0.020210      -1.000000    0.481663  -0.578511          -0.192767 -0.409449          -0.440900  -0.558429              -0.012876            -0.521203  0.523958
biology                     -0.018613  0.020210  1.000000      -0.023810    0.549578   0.437113          -0.042959  0.510289           0.537615  -0.106415               0.047737             0.746614 -0.271344
cybersecurity                0.037280 -1.000000 -0.023810       1.000000   -0.479310   0.576553           0.193138  0.409559           0.442231   0.556683               0.010865             0.521115 -0.526304
statistics                  -0.003485  0.481663  0.549578      -0.479310    1.000000   0.249272           0.435663 -0.170008          -0.166173  -0.482459               0.023438             0.395282  0.402269
sociology                   -0.055085 -0.578511  0.437113       0.576553    0.249272   1.000000           0.569814  0.289745           0.266522   0.184076               0.050356             0.847607 -0.184862
computer_networks            0.076992 -0.192767 -0.042959       0.193138    0.435663   0.569814           1.000000 -0.472979          -0.449731  -0.122483              -0.010400             0.354147  0.559944
history                     -0.069778 -0.409449  0.510289       0.409559   -0.170008   0.289745          -0.472979  1.000000           0.849203   0.602211               0.029390             0.539685 -0.896283
project_management          -0.004673 -0.440900  0.537615       0.442231   -0.166173   0.266522          -0.449731  0.849203           1.000000   0.568442               0.044615             0.549467 -0.873673
chemistry                   -0.302859 -0.558429 -0.106415       0.556683   -0.482459   0.184076          -0.122483  0.602211           0.568442   1.000000               0.003523             0.248049 -0.558594
environmental_science       -0.042129 -0.012876  0.047737       0.010865    0.023438   0.050356          -0.010400  0.029390           0.044615   0.003523               1.000000             0.049265 -0.021738
communication_skills        -0.100896 -0.521203  0.746614       0.521115    0.395282   0.847607           0.354147  0.539685           0.549467   0.248049               0.049265             1.000000 -0.355194
arts                        -0.166747  0.523958 -0.271344      -0.526304    0.402269  -0.184862           0.559944 -0.896283          -0.873673  -0.558594              -0.021738            -0.355194  1.000000

